Inspektions-ID;Videoname;Videozeitpunkt (h:min:sec);Meter ab Rohrbeginn;Schadenskürzel;Schadensbeschreibung;Rohrmaterial;Rohrprofil;Inspekteur-Name;Rohrhöhe (mm);Rohrbreite (mm);Kamera-Schwenkneigung (Grad);Kamera-Drehneigung (Grad);Videopfad;Videohash;Kmd-Pfad;image_path
120044;04250550.MPG;00:02:34;9.3;BCAGA;unbekannter Anschluss, offen;Beton;Eiförmig;Dorr/Alker;750;500;;;\\192.168.200.8\Datengrab\Dorr\Daten ab 04-2020\TV-Untersuchung\Stadt Erlangen\Daten KW26\Filme Alker\04250550.MPG;1688636666;;\\192.168.200.5\Buero\Projekte\Automatic damage detection\psiori\Datensatz_1_Anschluesse_Risse_Wurzeln\Annotationen_Full\raw\bounding_boxes\known dataset-3\Boxes\Connections\images\annotated_2229_imgs\agg_bbxs_2229_imgs\04250550.MPG.3775_DAMAGE.jpg
82889;60R3320G.mpg;00:01:14;1.36;BCAEA;einfacher Anschluss - Loch gemeißelt, offen;Beton;Kreisprofil;G. Rottmair;500;500;;;\\192.168.200.8\Datengrab\Dorr\3-17-11-17\AV Starnberger See\Bernried vom 19.12.2016-02.06.2017\Bernried RW-Kanal vom 19.12.2016-03.05.2017\Sichtversion 001\60R3320G.mpg;2614136379;;\\192.168.200.5\Buero\Projekte\Automatic damage detection\psiori\Datensatz_1_Anschluesse_Risse_Wurzeln\Annotationen_Full\raw\bounding_boxes\known dataset-3\Boxes\Connections\images\annotated_2229_imgs\agg_bbxs_2229_imgs\60R3320G.mpg.10325_DAMAGE.jpg
130494;F2194O3071011A.MPG;00:01:16;4.12;BCAEA;einfacher Anschluss - Loch gemeißelt, offen;Beton;Kreisprofil;Dorr/Möhring;300;300;-79.0;325.0;\\192.168.200.8\Datengrab\Dorr\Daten ab 10-2ß15\TV-Untersuchung\Stadt Filderstadt\Filderstadt vom 28.09.-27.10.2015\Sichtversion 001\F2194O3071011A.MPG;3904768225;\\192.168.200.8\Datengrab\Dorr\Daten ab 10-2ß15\TV-Untersuchung\Stadt Filderstadt\Filderstadt vom 28.09.-27.10.2015\Sichtversion 001\MESSDAT\Filderst\adt\F2194O3071011A.kmd;\\192.168.200.5\Buero\Projekte\Automatic damage detection\psiori\Datensatz_1_Anschluesse_Risse_Wurzeln\Annotationen_Full\raw\bounding_boxes\known dataset-3\Boxes\Connections\images\annotated_2229_imgs\agg_bbxs_2229_imgs\F2194O3071011A.MPG.7525_DAMAGE.jpg
51639;F4ONL_41330806.MPG;00:01:18;1.41;BCAEA;einfacher Anschluss - Loch gemeißelt, offen;Beton;Kreisprofil;Dorr/Alker;250;250;;;\\192.168.200.8\Datengrab\Dorr\11-17-12-18\Stadt Wangen\Wangen vom 04.09.-19.09.2018\Sichtversion 001\F4ONL_41330806.MPG;4224718832;\\192.168.200.8\Datengrab\Dorr\11-17-12-18\Stadt Wangen\Wangen vom 04.09.-19.09.2018\Sichtversion 001\MESSDAT\Wangen20\18\F4ONL_41330806.kmd;\\192.168.200.5\Buero\Projekte\Automatic damage detection\psiori\Datensatz_1_Anschluesse_Risse_Wurzeln\Annotationen_Full\raw\bounding_boxes\known dataset-3\Boxes\Connections\images\annotated_2229_imgs\agg_bbxs_2229_imgs\F4ONL_41330806.MPG.14600_DAMAGE.jpg
52027;F414PX41630208.MPG;00:01:19;1.94;BCAEA;einfacher Anschluss - Loch gemeißelt, offen;Beton;Kreisprofil;DORR/FAZIO;250;250;8.0;83.0;\\192.168.200.8\Datengrab\Dorr\11-17-12-18\Stadtwerke Füssen\Füssen, Ponickau Strasse vom 11.10.2018\Sichtversion DVD 001\F414PX41630208.MPG;2783894338;\\192.168.200.8\Datengrab\Dorr\11-17-12-18\Stadtwerke Füssen\Füssen, Ponickau Strasse vom 11.10.2018\Sichtversion DVD 001\MESSDAT\Füssen18\F414PX41630208.kmd;\\192.168.200.5\Buero\Projekte\Automatic damage detection\psiori\Datensatz_1_Anschluesse_Risse_Wurzeln\Annotationen_Full\raw\bounding_boxes\known dataset-3\Boxes\Connections\images\annotated_2229_imgs\agg_bbxs_2229_imgs\F414PX41630208.MPG.6775_DAMAGE.jpg
51531;F4YG6_41400812.MPG;00:01:41;2.6;BCAEA;einfacher Anschluss - Loch gemeißelt, offen;Beton;Kreisprofil;Dorr/Alker;250;250;;;\\192.168.200.8\Datengrab\Dorr\11-17-12-18\Stadt Wangen\Wangen vom 04.09.-19.09.2018\Sichtversion 001\F4YG6_41400812.MPG;1837732833;\\192.168.200.8\Datengrab\Dorr\11-17-12-18\Stadt Wangen\Wangen vom 04.09.-19.09.2018\Sichtversion 001\MESSDAT\Wangen20\18\F4YG6_41400812.kmd;\\192.168.200.5\Buero\Projekte\Automatic damage detection\psiori\Datensatz_1_Anschluesse_Risse_Wurzeln\Annotationen_Full\raw\bounding_boxes\known dataset-3\Boxes\Connections\images\annotated_2229_imgs\agg_bbxs_2229_imgs\F4YG6_41400812.MPG.2450_DAMAGE.jpg
94445;F412SQ32300814.MPG;00:01:53;3.83;BCADA;einfacher Anschluss - Loch gebohrt, offen;Beton;Kreisprofil;Dorr/Alker;250;250;;;\\192.168.200.8\Datengrab\Dorr\Daten ab 04-2016\TV-Untersuchung\Gemeinde Mittelbiberach\Mittelbiberach vom 07.03.-01.05.2016\Sichtversion 001\F412SQ32300814.MPG;744074067;;\\192.168.200.5\Buero\Projekte\Automatic damage detection\psiori\Datensatz_1_Anschluesse_Risse_Wurzeln\Annotationen_Full\raw\bounding_boxes\known dataset-3\Boxes\Connections\images\annotated_2229_imgs\agg_bbxs_2229_imgs\F412SQ32300814.MPG.6825_DAMAGE.jpg
52284;F4MSC_41500100.MPG;00:00:38;0.0;BAG;;Beton;Kreisprofil;Dorr/Möhring;300;300;;;\\192.168.200.8\Datengrab\Dorr\11-17-12-18\Stadtwerke Immenstadt\Immenstadt, Schwarzer Grund Weg vom 28.09.2018\Sichtversion DVD 001\F4MSC_41500100.MPG;2603299853;\\192.168.200.8\Datengrab\Dorr\11-17-12-18\Stadtwerke Immenstadt\Immenstadt, Schwarzer Grund Weg vom 28.09.2018\Sichtversion DVD 001\MESSDAT\Immensta\dt\F4MSC_41500100.kmd;\\192.168.200.5\Buero\Projekte\Automatic damage detection\psiori\Datensatz_1_Anschluesse_Risse_Wurzeln\Annotationen_Full\raw\bounding_boxes\known dataset-3\Boxes\Connections\images\annotated_2229_imgs\agg_bbxs_2229_imgs\F4MSC_41500100.MPG.875_DAMAGE.jpg
119813;04250150I.MPG;00:01:58;6.6;BCADA;einfacher Anschluss - Loch gebohrt, offen;Beton;Kreisförmig;Dorr/Alker;300;300;;;\\192.168.200.8\Datengrab\Dorr\Daten ab 04-2020\TV-Untersuchung\Stadt Erlangen\Daten KW25\Filme Alker\04250150I.MPG;808804871;;\\192.168.200.5\Buero\Projekte\Automatic damage detection\psiori\Datensatz_1_Anschluesse_Risse_Wurzeln\Annotationen_Full\raw\bounding_boxes\known dataset-3\Boxes\Connections\images\annotated_2229_imgs\agg_bbxs_2229_imgs\04250150I.MPG.8225_DAMAGE.jpg
37825;6M0173_6M0173_6M0174_D_16112017_141333.mpg;00:01:48;12.53;BCAEA;einfacher Anschluss - Loch gemeißelt, offen;Beton;Kreisprofil;G. Rottmair;250;250;;;\\192.168.200.8\Datengrab\Dorr\11-17-12-18\Gemeinde Schemmerhofen\Schemmerberg, diverse Strassen vom 13.11.2017-03.05.2018\Sichtversion 001\6M0173_6M0173_6M0174_D_16112017_141333.mpg;3132612852;;\\192.168.200.5\Buero\Projekte\Automatic damage detection\psiori\Datensatz_1_Anschluesse_Risse_Wurzeln\Annotationen_Full\raw\bounding_boxes\known dataset-3\Boxes\Connections\images\annotated_2229_imgs\agg_bbxs_2229_imgs\6M0173_6M0173_6M0174_D_16112017_141333.mpg.2625_DAMAGE.jpg
52185;F411MZ39430810.MPG;00:07:06;24.5;BCAEA;einfacher Anschluss - Loch gemeißelt, offen;Beton;Kreisförmig;Dorr/Alker;300;300;;;\\192.168.200.8\Datengrab\Dorr\11-17-12-18\Stadtwerke Füssen\Weißensee, Teil 4 vom 05.03.-13.03.2018\Sichtversion 001\F411MZ39430810.MPG;3835987487;\\192.168.200.8\Datengrab\Dorr\11-17-12-18\Stadtwerke Füssen\Weißensee, Teil 4 vom 05.03.-13.03.2018\Sichtversion 001\MESSDAT\Füssen20\18\F411MZ39430810.kmd;\\192.168.200.5\Buero\Projekte\Automatic damage detection\psiori\Datensatz_1_Anschluesse_Risse_Wurzeln\Annotationen_Full\raw\bounding_boxes\known dataset-3\Boxes\Connections\images\annotated_2229_imgs\agg_bbxs_2229_imgs\F411MZ39430810.MPG.10575_DAMAGE.jpg
142165;T2 24.25I16072015.MPG;00:02:29;8.48;BCAEA;einfacher Anschluss - Loch gemeißelt, offen;Beton;Kreisprofil;Dorr/Alker;400;400;;;\\192.168.200.8\Datengrab\Dorr\Daten ab 12-2014\TV-Untersuchung\Stadt Ravensburg, Tiefbau\Ravensburg, Oberzell vom 14.07.-29.07.2015\Sichtversion 001\T2 24.25I16072015.MPG;1405619832;;\\192.168.200.5\Buero\Projekte\Automatic damage detection\psiori\Datensatz_1_Anschluesse_Risse_Wurzeln\Annotationen_Full\raw\bounding_boxes\known dataset-3\Boxes\Connections\images\annotated_2229_imgs\agg_bbxs_2229_imgs\T2%2024.25I16072015.MPG.3650_DAMAGE.jpg
53399;LE_RW_064I.MPG;00:03:15;17.61;BCAEA;einfacher Anschluss - Loch gemeißelt, offen;Beton;Kreisprofil;Dorr/Alker;300;300;;;\\192.168.200.8\Datengrab\Dorr\11-17-12-18\ZV Fuchstalgemeinden\Leeder vom 21.09.-24.11.2017\Sichtversion 001\LE_RW_064I.MPG;3011318809;\\192.168.200.8\Datengrab\Dorr\11-17-12-18\ZV Fuchstalgemeinden\Leeder vom 21.09.-24.11.2017\Sichtversion 001\MESSDAT\Leeder20\17\LE_RW_064I.kmd;\\192.168.200.5\Buero\Projekte\Automatic damage detection\psiori\Datensatz_1_Anschluesse_Risse_Wurzeln\Annotationen_Full\raw\bounding_boxes\known dataset-3\Boxes\Connections\images\annotated_2229_imgs\agg_bbxs_2229_imgs\LE_RW_064I.MPG.4800_DAMAGE.jpg
131600;T1 11.14I02122015.MPG;00:03:05;7.16;BCAEA;einfacher Anschluss - Loch gemeißelt, offen;Beton;Kreisprofil;Dorr/BeGü;300;300;;;\\192.168.200.8\Datengrab\Dorr\Daten ab 10-2ß15\TV-Untersuchung\Stadt Ravensburg\RV-Bavendorf vom 23.11.-08.12.2015\Sichtversion 001\T1 11.14I02122015.MPG;3236365743;\\192.168.200.8\Datengrab\Dorr\Daten ab 10-2ß15\TV-Untersuchung\Stadt Ravensburg\RV-Bavendorf vom 23.11.-08.12.2015\Sichtversion 001\MESSDAT\RV-Baven\dorf\T1 11.14I02122015.kmd;\\192.168.200.5\Buero\Projekte\Automatic damage detection\psiori\Datensatz_1_Anschluesse_Risse_Wurzeln\Annotationen_Full\raw\bounding_boxes\known dataset-3\Boxes\Connections\images\annotated_2229_imgs\agg_bbxs_2229_imgs\T1%2011.14I02122015.MPG.4550_DAMAGE.jpg
121531;F4X7D_47360203.MPG;00:02:26;0.9;BCAEA;einfacher Anschluss - Loch gemeißelt, offen;Beton;Sonstige Profilart;Dorr/Sfar;2250;2250;-89.0;324.0;\\192.168.200.8\Datengrab\Dorr\Daten ab 04-2020\TV-Untersuchung\Stadtentwässerung Reutlingen\Reutlingen, Großraumbegehung vom 05.05.2020\Sichtversion DVD 001\bin\F4X7D_47360203.MPG;4293968575;\\192.168.200.8\Datengrab\Dorr\Daten ab 04-2020\TV-Untersuchung\Stadtentwässerung Reutlingen\Reutlingen, Großraumbegehung vom 05.05.2020\Sichtversion DVD 001\bin\MESSDAT\Reutling\en2020\F4X7D_47360203.kmd;\\192.168.200.5\Buero\Projekte\Automatic damage detection\psiori\Datensatz_1_Anschluesse_Risse_Wurzeln\Annotationen_Full\raw\bounding_boxes\known dataset-3\Boxes\Connections\images\annotated_2229_imgs\agg_bbxs_2229_imgs\F4X7D_47360203.MPG.11375_DAMAGE.jpg
65268;R01729G.MPG;00:02:03;2.97;BCADA;einfacher Anschluss - Loch gebohrt, offen;Stahlbeton;Kreisprofil;Dorr/BeGü;500;500;;;\\192.168.200.8\Datengrab\Dorr\12-18-08-19\GTL Lindau\Lindau, OT Aeschach & Reutin vom 15.10.-22.11.2018\Haltungen\RW-Kanal\R01729G.MPG;269644328;\\192.168.200.8\Datengrab\Dorr\12-18-08-19\GTL Lindau\Lindau, OT Aeschach & Reutin vom 15.10.-22.11.2018\Sichtversion ohne Filme\MESSDAT\Lindau20\18\R01729G.kmd;\\192.168.200.5\Buero\Projekte\Automatic damage detection\psiori\Datensatz_1_Anschluesse_Risse_Wurzeln\Annotationen_Full\raw\bounding_boxes\known dataset-3\Boxes\Connections\images\annotated_2229_imgs\agg_bbxs_2229_imgs\R01729G.MPG.17225_DAMAGE.jpg
36943;F4RV7_40570203.MPG;00:01:04;0.5;BBCA;;Beton;Kreisprofil;Dorr/Fazio;400;400;-32.0;253.0;\\192.168.200.8\Datengrab\Dorr\11-17-12-18\Gemeinde Riegsee\Riegsee vom 04.06.-07.09.2018\Sichtversion 001\F4RV7_40570203.MPG;3115528760;\\192.168.200.8\Datengrab\Dorr\11-17-12-18\Gemeinde Riegsee\Riegsee vom 04.06.-07.09.2018\Sichtversion 001\MESSDAT\Riegsee2\018-1\F4RV7_40570203.kmd;\\192.168.200.5\Buero\Projekte\Automatic damage detection\psiori\Datensatz_1_Anschluesse_Risse_Wurzeln\Annotationen_Full\raw\bounding_boxes\known dataset-3\Boxes\Connections\images\annotated_2229_imgs\agg_bbxs_2229_imgs\F4RV7_40570203.MPG.9125_DAMAGE.jpg
132270;1207I.MPG;00:02:20;1.35;BCADA;einfacher Anschluss - Loch gebohrt, offen;Beton;Kreisprofil;Dorr/Seif;500;500;;;\\192.168.200.8\Datengrab\Dorr\Daten ab 10-2ß15\TV-Untersuchung\Stadt Wangen\Wangen vom 07.09.-06.10.2015\Daten TV I\Sichtversion 001\1207I.MPG;3599439294;;\\192.168.200.5\Buero\Projekte\Automatic damage detection\psiori\Datensatz_1_Anschluesse_Risse_Wurzeln\Annotationen_Full\raw\bounding_boxes\known dataset-3\Boxes\Connections\images\annotated_2229_imgs\agg_bbxs_2229_imgs\1207I.MPG.14200_DAMAGE.jpg
25937;21R1420G.MPG;00:00:28;0.3;BCAAA;Abzweig, offen;Beton;Kreisprofil;Dorr/BeGü;400;400;;;\\192.168.200.8\Datengrab\Dorr\11-17-12-18\AV Starnberger See\Starnberg RW-Kanal\Starnberg RW-Kanal vom 09.11.2016.-14.12.2017\Sichtversion 001\21R1420G.MPG;3678538031;\\192.168.200.8\Datengrab\Dorr\11-17-12-18\AV Starnberger See\Starnberg RW-Kanal\Starnberg RW-Kanal vom 09.11.2016.-14.12.2017\Sichtversion 001\MESSDAT\Starnber\gRWneu\21R1420G.kmd;\\192.168.200.5\Buero\Projekte\Automatic damage detection\psiori\Datensatz_1_Anschluesse_Risse_Wurzeln\Annotationen_Full\raw\bounding_boxes\known dataset-3\Boxes\Connections\images\annotated_2229_imgs\agg_bbxs_2229_imgs\21R1420G.MPG.5675_DAMAGE.jpg
51653;F4XHF_4132080D.MPG;00:02:16;3.97;BCAEA;einfacher Anschluss - Loch gemeißelt, offen;Beton;Kreisprofil;Dorr/Alker;300;300;;;\\192.168.200.8\Datengrab\Dorr\11-17-12-18\Stadt Wangen\Wangen vom 04.09.-19.09.2018\Sichtversion 001\F4XHF_4132080D.MPG;730130900;\\192.168.200.8\Datengrab\Dorr\11-17-12-18\Stadt Wangen\Wangen vom 04.09.-19.09.2018\Sichtversion 001\MESSDAT\Wangen20\18\F4XHF_4132080D.kmd;\\192.168.200.5\Buero\Projekte\Automatic damage detection\psiori\Datensatz_1_Anschluesse_Risse_Wurzeln\Annotationen_Full\raw\bounding_boxes\known dataset-3\Boxes\Connections\images\annotated_2229_imgs\agg_bbxs_2229_imgs\F4XHF_4132080D.MPG.8500_DAMAGE.jpg
52834;F4UEL_41690200.MPG;00:02:48;8.83;BCADA;einfacher Anschluss - Loch gebohrt, offen;Beton;Kreisprofil;DORR/FAZIO;400;400;15.0;71.0;\\192.168.200.8\Datengrab\Dorr\11-17-12-18\Stadtwerke Weilheim i.OB KU\Weilheim, Krumpperstrasse KOMPLETT FALSCH FAZIO vom 17.10.2018\Sichtversion DVD 001\F4UEL_41690200.MPG;1915273405;\\192.168.200.8\Datengrab\Dorr\11-17-12-18\Stadtwerke Weilheim i.OB KU\Weilheim, Krumpperstrasse KOMPLETT FALSCH FAZIO vom 17.10.2018\Sichtversion DVD 001\MESSDAT\Weilheim\_Krumpp\F4UEL_41690200.kmd;\\192.168.200.5\Buero\Projekte\Automatic damage detection\psiori\Datensatz_1_Anschluesse_Risse_Wurzeln\Annotationen_Full\raw\bounding_boxes\known dataset-3\Boxes\Connections\images\annotated_2229_imgs\agg_bbxs_2229_imgs\F4UEL_41690200.MPG.21850_DAMAGE.jpg
37528;3M0004_3M0004_3M0005_U_11122017_162803.mpg;00:01:19;7.58;BCAEA;einfacher Anschluss - Loch gemeißelt, offen;Beton;Kreisprofil;G. Rottmair;300;300;;;\\192.168.200.8\Datengrab\Dorr\11-17-12-18\Gemeinde Schemmerhofen\Altheim, diverse Strassen vom 11.12.2017-15.05.2018\Sichtversion 001\3M0004_3M0004_3M0005_U_11122017_162803.mpg;89845319;;\\192.168.200.5\Buero\Projekte\Automatic damage detection\psiori\Datensatz_1_Anschluesse_Risse_Wurzeln\Annotationen_Full\raw\bounding_boxes\known dataset-3\Boxes\Connections\images\annotated_2229_imgs\agg_bbxs_2229_imgs\3M0004_3M0004_3M0005_U_11122017_162803.mpg.5825_DAMAGE.jpg
33425;F4Y96_4037080A.MPG;00:01:31;6.9;BCAEA;einfacher Anschluss - Loch gemeißelt, offen;Beton;Kreisprofil;Dorr/Alker;250;250;;;\\192.168.200.8\Datengrab\Dorr\11-17-12-18\Fa. Kanal Oberreiter GmbH\Kaufbeuren, diverse Strassen vom 06.06.-12.06.2018\Sichtversion DVD 001\F4Y96_4037080A.MPG;3478058641;\\192.168.200.8\Datengrab\Dorr\11-17-12-18\Fa. Kanal Oberreiter GmbH\Kaufbeuren, diverse Strassen vom 06.06.-12.06.2018\Sichtversion DVD 001\MESSDAT\Oberreit\erKFB\F4Y96_4037080A.kmd;\\192.168.200.5\Buero\Projekte\Automatic damage detection\psiori\Datensatz_1_Anschluesse_Risse_Wurzeln\Annotationen_Full\raw\bounding_boxes\known dataset-3\Boxes\Connections\images\annotated_2229_imgs\agg_bbxs_2229_imgs\F4Y96_4037080A.MPG.6325_DAMAGE.jpg
