Schaden Paar;Anzahl
('BAHC', 'BCAAA');322
('BCAAA', 'BCBZC');319
('BABBB', 'BCADA');317
('BBBA', 'BDDB');314
('BABBC', 'BCAEA');304
('BABBB', 'BAJB');303
('BACB', 'BAHC');302
('BABAA', 'BCAEA');300
('BCCBY', 'BCCBY');295
('BAFCE', 'BCADA');293
('BAJB', 'BCAEA');290
('BAJC', 'BCAEA');288
('BCCAY', 'BCCAY');284
('BAJB', 'BDDB');284
('BCBZD', 'BCBZD');283
('BAIZ', 'BAIZ');281
('BABBA', 'BBCC');280
('BAFBE', 'BCAEA');277
('BAJC', 'BBBA');276
('BCAZA', 'BCBZC');275
('BAJB', 'BBAB');274
('BCBZD', 'BCBZZ');274
('BAHC', 'BCBZZ');274
('BAFCE', 'BCAEA');273
('BAFJE', 'BCADA');270
('BAFAE', 'BBBZ');270
('BACB', 'BACB');269
('BAAA', 'BCAAA');265
('BABBA', 'BACB');262
('BDDC', 'BDDC');260
('BAFAE', 'BCADA');258
('BAJB', 'BCADA');258
('BBAB', 'BBAC');257
('BCAEA', 'BDDB');257
('BCAAB', 'BCAEA');256
('BAFAE', 'BBBA');254
('BDDA', 'BDDA');253
('BABBA', 'BABBC');252
('BAHB', 'BCADA');251
('BAFBE', 'BCADA');244
('BAHC', 'BAHC');243
('BBCA', 'BBCA');238
('BABBC', 'BAJB');237
('BCAAA', 'BCBZB');237
('BABBC', 'BBBA');237
('BBBA', 'BBBZ');237
('BCADA', 'BDDB');236
('BAFCE', 'BAJB');235
('BAJB', 'BAO');235
('BAJB', 'BBBA');232
('BABBA', 'BAJC');231
('BABBB', 'BAFCE');231
('BAFBE', 'BAJB');229
('BAJC', 'BBAB');229
('BABBA', 'BAFCE');227
('BAFCE', 'BAFCE');223
('BCAGA', 'BDDB');220
('BACB', 'BBBA');219
('BBCB', 'BBCB');215
('BAFAE', 'BDDB');212
('BBBZ', 'BDDB');211
('BAHC', 'BAP');209
('BAFJE', 'BAFJE');207
('BBAB', 'BCAEA');206
('BABBC', 'BAHC');206
('BBAB', 'BCAAA');205
('BABBA', 'BAFBE');204
('BAFBE', 'BAHC');200
('BAAA', 'BBCC');199
('BAFBE', 'BBBA');199
('BAFCE', 'BAJC');197
('BABAA', 'BAHC');195
('BACB', 'BCAAA');193
('BCAEA', 'BCBZB');193
('BAJC', 'BAO');193
('BABAA', 'BABBB');188
('BAHC', 'BAJB');185
('BCAGA', 'BCBZC');182
('BABBC', 'BACB');182
('BAFJE', 'BBBA');182
('BABBB', 'BAJC');181
('BBBZ', 'BCAEA');181
('BAHC', 'BAJC');179
('BAFAE', 'BAFAE');179
('BAIZ', 'BBCC');178
('BCBZZ', 'BDDB');178
('BAFBE', 'BAFBE');176
('BAFBE', 'BBCC');175
('BBAB', 'BBCC');171
('BAHC', 'BDDB');171
('BABBC', 'BAJC');170
('BABBB', 'BDDB');170
('BABBA', 'BDDB');170
('BCADA', 'BCBZZ');168
('BAAA', 'BAJC');167
('BAFCE', 'BAHC');167
('BBBZ', 'BCAGA');167
('BCBZB', 'BCBZC');165
('BBBZ', 'BCAAA');165
('BABBA', 'BBFA');163
('BABBA', 'BBAB');163
('BABAA', 'BBCC');163
('BAG', 'BBCC');162
('BAJA', 'BCAAA');159
('BBFA', 'BBFA');159
('BAFJE', 'BDDB');158
('BAG', 'BCAAA');156
('BBBA', 'BCAAB');152
('BCBZB', 'BCBZD');151
('BAFJE', 'BBCC');150
('BBCC', 'BDDB');149
('BABBB', 'BBFA');148
('BABBB', 'BAFBE');147
('BABBB', 'BABBC');147
('BCAAA', 'BCCYB');146
('BAP', 'BCAEA');143
('BBBA', 'BCAGA');143
('BCCYB', 'BDDB');142
('BAFJE', 'BAHC');141
('BCAEA', 'BCBZD');140
('BBCC', 'BCAAB');140
('BAIZ', 'BBBA');140
('BABBB', 'BACB');139
('BBCC', 'BDDA');137
('BAHC', 'BBAB');137
('BAJB', 'BCAAB');137
('BCABA', 'BCAEA');136
('BAIZ', 'BAJB');135
('BCAAA', 'BDDA');135
('BAFAE', 'BCAEA');135
('BABBB', 'BAFAE');135
('BAG', 'BBBA');135
('BBCB', 'BCAAA');134
('BABBC', 'BBCC');134
('BAAA', 'BDDB');134
('BAHC', 'BCAAB');133
('BABBA', 'BAO');133
('BCADA', 'BCBZD');132
('BACB', 'BBCC');130
('BAFCE', 'BBBA');129
('BABBB', 'BAFJE');129
('BAFJE', 'BCAEA');129
('BACB', 'BAJB');127
('BAG', 'BCACA');126
('BAO', 'BCAAA');126
('BAFJE', 'BAJC');126
('BCAAA', 'BDDC');126
('BABBA', 'BAFAE');125
('BAO', 'BCAAB');125
('BAJA', 'BCAEA');125
('BAJB', 'BDDA');124
('BABAA', 'BAFAE');123
('BBFA', 'BCAEA');121
('BAG', 'BCABA');121
('BCABA', 'BCADA');121
('BCAAA', 'BCBZD');120
('BABAA', 'BAJB');120
('BAFCE', 'BAFJE');120
('BABBB', 'BBAB');119
('BACB', 'BAJC');119
('BAFBE', 'BAJC');118
('BAHC', 'BCAZA');117
('BAFAE', 'BAJC');116
('BBAB', 'BBBA');116
('BABBB', 'BAO');116
('BAJA', 'BAJA');115
('BAFAE', 'BAJB');115
('BBBZ', 'BCADA');114
('BABBB', 'BAG');114
('BABBC', 'BAO');112
('BAO', 'BBCC');112
('BBFC', 'BCAEA');111
('BAHC', 'BCAGA');111
('BAFJE', 'BBFA');110
('BBCB', 'BCAEA');109
('BBCA', 'BCAAA');108
('BAG', 'BAO');108
('BCAGA', 'BDDC');106
('BBCB', 'BBCC');105
('BAJA', 'BAO');104
('BCAAA', 'BCABA');104
('BAFBE', 'BAO');104
('BAIZ', 'BCAAA');103
('BAFJE', 'BAJB');103
('BAIZ', 'BCAEA');103
('BCAEA', 'BCBZC');102
('BAHC', 'BBBZ');101
('BBAC', 'BCAAA');100
('BAJB', 'BBAC');100
('BAJC', 'BCAAB');100
('BABBC', 'BAFCE');100
('BAJB', 'BBBZ');100
('BBAC', 'BCAEA');100
('BAFBE', 'BAFCE');99
('BAFAE', 'BCAGA');99
('BBBA', 'BCBZZ');99
('BCADA', 'BCCAY');97
('BABBA', 'BCAAB');97
('BAAA', 'BABBA');97
('BAFBE', 'BDDB');97
('BCADA', 'BCBZB');95
('BABBA', 'BAG');95
('BABAA', 'BAJC');95
('BAJA', 'BAJB');94
('BCCAY', 'BCCYB');94
('BABBA', 'BAFJE');94
('BBBA', 'BDDA');94
('BAJC', 'BCCAY');93
('BAJC', 'BBAC');93
('BAFCE', 'BAIZ');93
('BCAAB', 'BCADA');92
('BAJA', 'BAJC');92
('BAJA', 'BBBA');92
('BCBZD', 'BDDC');92
('BABAA', 'BAFBE');91
('BCADA', 'BCCBY');90
('BCAGA', 'BCBZB');90
('BAFCE', 'BBAB');90
('BABAA', 'BCAGA');90
('BBCC', 'BBFA');89
('BBCB', 'BCADA');88
('BABBA', 'BBBZ');87
('BABBC', 'BCAAB');87
('BAJB', 'BAP');87
('BBFC', 'BBFC');86
('BACB', 'BAG');86
('BCBZC', 'BDDB');85
('BABBC', 'BDDB');85
('BAAA', 'BCCBY');84
('BAIZ', 'BDDB');84
('BAJC', 'BCCBY');83
('BAHC', 'BBFC');83
('BAFJE', 'BCAAA');83
('BCACA', 'BCACA');83
('BAJC', 'BCBZC');82
('BABBB', 'BBBZ');82
('BABAA', 'BABBC');81
('BBAB', 'BDDB');81
('BAFJE', 'BAIZ');81
('BABBB', 'BBFC');79
('BAFAE', 'BBCC');79
('BAFCE', 'BDDB');78
('BABBA', 'BAIZ');78
('BBAB', 'BCADA');78
('BAFAE', 'BAFBE');78
('BBCA', 'BDDB');77
('BCADA', 'BCBZC');77
('BABBC', 'BBAB');77
('BABAA', 'BBBZ');77
('BACB', 'BCADA');77
('BAIZ', 'BCADA');76
('BAJC', 'BBBZ');76
('BACB', 'BCBZZ');75
('BABBA', 'BCBZZ');75
('BAFCE', 'BAO');75
('BCCBY', 'BCCYB');74
('BAHC', 'BBAC');74
('BBFC', 'BCADA');73
('BBFC', 'BCAAA');73
('BCAEA', 'BDDA');73
('BBBA', 'BCABA');73
('BAFBE', 'BBAB');72
('BBCC', 'BBFC');72
('BAJA', 'BBCC');72
('BAJA', 'BDDB');72
('BBCA', 'BCADA');71
('BBBA', 'BCACA');71
('BBCC', 'BCCBY');70
('BABBA', 'BBAC');70
('BCBZC', 'BCBZZ');69
('BBBA', 'BDDC');69
('BBBA', 'BCBZC');69
('BBFA', 'BCADA');68
('BACB', 'BAFBE');68
('BABBC', 'BAFBE');68
('BCADA', 'BDDA');68
('BABAA', 'BAFCE');68
('BABBB', 'BCBZZ');68
('BAG', 'BAJC');67
('BAJC', 'BAP');67
('BBCC', 'BCBZZ');66
('BCAEA', 'BCAZA');65
('BABBC', 'BCADA');65
('BAFAE', 'BAIZ');65
('BAHB', 'BAO');65
('BABBA', 'BAP');64
('BAFJE', 'BCABA');64
('BAG', 'BAJB');63
('BABAA', 'BDDB');63
('BAJC', 'BCBZZ');63
('BAFBE', 'BBBZ');62
('BCAAA', 'BCAZA');61
('BABBB', 'BCAAB');61
('BAO', 'BAO');61
('BCAGA', 'BDDA');61
('BCAEA', 'BDDC');61
('BABBB', 'BCABA');61
('BAFCE', 'BBAC');61
('BABBC', 'BBAC');60
('BAO', 'BBBA');60
('BACB', 'BAP');60
('BBBZ', 'BCBZZ');60
('BABAA', 'BACB');60
('BAFBE', 'BCBZZ');60
('BBCA', 'BCAEA');60
('BCCYB', 'BCCYB');59
('BAJA', 'BCADA');59
('BAHC', 'BCABA');59
('BAAA', 'BCCAY');59
('BCADA', 'BCAZA');58
('BBCC', 'BCCAY');58
('BAFAE', 'BAHC');58
('BABBB', 'BAJA');58
('BAHC', 'BAJA');58
('BCACA', 'BCAEA');58
('BCAAB', 'BDDB');58
('BBBZ', 'BCBZC');58
('BCABA', 'BDDB');57
('BAHC', 'BBFA');57
('BBAC', 'BBBA');57
('BABAA', 'BCABA');57
('BBAC', 'BBCC');56
('BAJC', 'BCAZA');56
('BABBC', 'BAG');56
('BABBC', 'BAFAE');56
('BAHC', 'BBCB');56
('BACB', 'BAJA');55
('BAJB', 'BCCAY');55
('BABAA', 'BCAAB');55
('BABBB', 'BAIZ');55
('BABAA', 'BBAB');55
('BAJB', 'BCCYB');54
('BAFAE', 'BBAB');54
('BCBZB', 'BCBZZ');54
('BAO', 'BCADA');54
('BABBA', 'BBFC');53
('BACB', 'BAFCE');53
('BABBB', 'BBAC');53
('BAHC', 'BAIZ');53
('BAFAE', 'BCABA');53
('BBCA', 'BBCC');52
('BBBA', 'BCAZA');52
('BAFBE', 'BCAAB');52
('BAFAE', 'BAFJE');52
('BBCB', 'BDDB');51
('BCAZA', 'BDDB');51
('BABAA', 'BBFA');51
('BABBB', 'BAP');51
('BAJB', 'BBCA');51
('BBAB', 'BBBZ');51
('BBBZ', 'BCABA');51
('BACB', 'BDDB');50
('BAAA', 'BAO');50
('BAG', 'BCAAB');50
('BABBA', 'BCACA');50
('BBAB', 'BCAAB');49
('BCCAY', 'BDDB');49
('BAFBE', 'BAFJE');49
('BAFCE', 'BBBZ');49
('BAHB', 'BBBA');48
('BAIZ', 'BBCA');48
('BACB', 'BBAB');48
('BAJC', 'BBCA');47
('BBBA', 'BCBZD');47
('BCCBY', 'BDDB');47
('BAJC', 'BBFA');47
('BAG', 'BDDB');47
('BCABA', 'BCBZC');47
('BAFJE', 'BBAB');47
('BAFAE', 'BDDA');47
('BAFBE', 'BAP');46
('BABBA', 'BCBZB');46
('BACB', 'BAFJE');46
('BABBB', 'BDDA');46
('BAIZ', 'BBBZ');46
('BACB', 'BBFC');46
('BABAA', 'BAFJE');46
('BBFA', 'BBFC');46
('BBCC', 'BCBZD');46
('BABBA', 'BAJA');45
('BAAA', 'BAJB');45
('BACB', 'BBAC');45
('BABBA', 'BDDA');45
('BAFBE', 'BAIZ');45
('BAO', 'BBAB');45
('BAJB', 'BCCBY');44
('BBBA', 'BBCA');44
('BABBA', 'BBCA');44
('BABBA', 'BCAGA');44
('BCADA', 'BDDC');44
('BCACA', 'BCADA');44
('BAP', 'BBCC');43
('BAP', 'BBBA');43
('BAG', 'BCAGA');43
('BBCC', 'BDDC');43
('BAHB', 'BBCC');43
('BAFBE', 'BCABA');43
('BBBA', 'BBCB');42
('BAJC', 'BBCB');42
('BABBC', 'BBFA');42
('BAAA', 'BDDA');42
('BBFC', 'BDDB');41
('BABBA', 'BBCB');41
('BABBB', 'BCACA');41
('BBAB', 'BBCA');41
('BCAAA', 'BCACA');41
('BAG', 'BBAB');41
('BAJB', 'BDDC');41
('BBCC', 'BCABA');40
('BAIZ', 'BAJC');40
('BAHC', 'BCBZC');40
('BCBZC', 'BCCAY');40
('BAFCE', 'BBFA');40
('BBAB', 'BDDA');40
('BABAA', 'BAG');39
('BAFCE', 'BAG');39
('BAJC', 'BCBZD');39
('BAJC', 'BCAGA');39
('BBCC', 'BCAZA');39
('BAJA', 'BBAB');39
('BAFBE', 'BAG');38
('BAFBE', 'BBFA');38
('BAJB', 'BCBZZ');38
('BBAC', 'BCADA');38
('BBBZ', 'BDDA');38
('BAFCE', 'BBCA');38
('BAJB', 'BCBZC');37
('BAFCE', 'BAP');37
('BABBC', 'BAP');37
('BAAA', 'BBAB');37
('BBAB', 'BCBZZ');37
('BCCAY', 'BDDC');37
('BABBB', 'BCBZB');36
('BCBZC', 'BDDA');36
('BABBC', 'BBFC');36
('BBCA', 'BDDA');36
('BABBA', 'BCBZD');36
('BCACA', 'BDDB');36
('BABAA', 'BAO');36
('BCABA', 'BCBZZ');36
('BAJB', 'BBFA');36
('BBCC', 'BCBZB');35
('BBCC', 'BCBZC');35
('BBBA', 'BCCAY');35
('BAFAE', 'BCAAA');35
('BAFAE', 'BAJA');35
('BBCB', 'BDDA');35
('BCAAB', 'BDDC');35
('BAJC', 'BCBZB');35
('BAAA', 'BBBA');35
('BBFA', 'BCBZZ');35
('BCBZD', 'BDDB');34
('BAP', 'BCAAA');34
('BAFAE', 'BAG');34
('BAFCE', 'BCAAA');34
('BAIZ', 'BDDA');34
('BBFA', 'BCAAB');34
('BABBA', 'BCABA');34
('BAJA', 'BCBZZ');34
('BABBB', 'BCAGA');33
('BCBZC', 'BCCBY');32
('BACB', 'BBCB');32
('BCAAB', 'BCBZZ');32
('BBFA', 'BCAAA');32
('BBAC', 'BDDB');32
('BAHC', 'BCBZB');31
('BACB', 'BAFAE');31
('BBCC', 'BCCYB');31
('BBCC', 'BCACA');31
('BAAA', 'BABBB');31
('BABBA', 'BDDC');30
('BCAAB', 'BCAZA');30
('BABBA', 'BCCBY');30
('BABBC', 'BAIZ');30
('BAO', 'BBCB');30
('BBAB', 'BBFA');30
('BAFAE', 'BCBZZ');30
('BAJC', 'BCCYB');30
('BCCYB', 'BDDA');30
('BAFAE', 'BBAC');30
('BBCA', 'BCBZZ');30
('BCCBY', 'BDDC');30
('BACB', 'BCACA');30
('BAHC', 'BDDA');29
('BAAA', 'BBCB');29
('BAP', 'BCADA');29
('BAJC', 'BCABA');29
('BAG', 'BAP');29
('BAFJE', 'BAG');29
('BAJB', 'BCABA');29
('BABBB', 'BCBZC');29
('BAHB', 'BCACA');29
('BAJA', 'BDDA');29
('BACB', 'BBFA');29
('BAJB', 'BBCB');29
('BABAA', 'BBCA');28
('BCBZC', 'BCCYB');28
('BABBB', 'BBCB');28
('BBFA', 'BCABA');28
('BAIZ', 'BBFA');27
('BABBA', 'BCCAY');27
('BABBC', 'BAJA');27
('BAG', 'BBBZ');27
('BABAA', 'BDDA');27
('BAHC', 'BBCA');27
('BAO', 'BBAC');27
('BABBC', 'BDDC');27
('BBFC', 'BCABA');27
('BAJA', 'BBBZ');27
('BAAA', 'BAP');27
('BBFA', 'BCACA');27
('BBBZ', 'BCACA');27
('BCAAB', 'BCBZB');26
('BACB', 'BCBZD');26
('BAFJE', 'BBCB');26
('BBCA', 'BBCB');26
('BAAA', 'BBAC');26
('BAHC', 'BDDC');26
('BBAC', 'BCAAB');26
('BAFAE', 'BDDC');26
('BABBC', 'BAFJE');26
('BABBB', 'BBCA');26
('BAJC', 'BCACA');26
('BACB', 'BCBZB');25
('BBCC', 'BCAGA');25
('BCAAB', 'BCBZD');25
('BABAA', 'BAIZ');25
('BCAAB', 'BCCBY');25
('BAJA', 'BDDC');25
('BABBC', 'BCBZZ');25
('BAFCE', 'BBCB');25
('BAFCE', 'BDDA');25
('BABAA', 'BCBZZ');25
('BCCBY', 'BDDA');24
('BAAA', 'BACB');24
('BCAAA', 'BCAGA');24
('BAFBE', 'BCBZC');24
('BCAEA', 'BCAGA');24
('BAFBE', 'BBCA');24
('BAG', 'BCAZA');24
('BAJB', 'BBFC');24
('BAFJE', 'BAO');24
('BAAA', 'BCAGA');24
('BCCAY', 'BDDA');24
('BBFC', 'BCBZZ');24
('BAFCE', 'BAJA');24
('BAP', 'BAP');23
('BBCB', 'BCCBY');23
('BBFC', 'BCAZA');23
('BCBZC', 'BDDC');23
('BABBB', 'BDDC');23
('BAFCE', 'BCBZD');23
('BAAA', 'BCCYB');23
('BBBZ', 'BDDC');23
('BAFBE', 'BDDA');23
('BCBZD', 'BDDA');23
('BBBA', 'BCCBY');22
('BACB', 'BCAAB');22
('BAO', 'BBFC');22
('BAG', 'BBFA');22
('BAIZ', 'BCAAB');22
('BCABA', 'BDDA');22
('BCAAB', 'BCABA');22
('BBFC', 'BCAAB');22
('BCABA', 'BCAGA');22
('BBAB', 'BBCB');22
('BAAA', 'BCAEA');22
('BCBZZ', 'BCCAY');21
('BABBB', 'BCBZD');21
('BCBZB', 'BDDB');21
('BBBA', 'BCBZB');21
('BAHC', 'BCBZD');21
('BAP', 'BBAB');21
('BAIZ', 'BAO');21
('BDDA', 'BDDB');21
('BACB', 'BAHB');21
('BCAAB', 'BCACA');21
('BAG', 'BBAC');21
('BBAB', 'BCCBY');21
('BBAB', 'BCCAY');21
('BAJA', 'BCCAY');21
('BAHB', 'BAP');21
('BAFBE', 'BCAGA');21
('BABBC', 'BDDA');21
('BBBZ', 'BCCAY');20
('BABBC', 'BCCAY');20
('BCAAB', 'BCCAY');20
('BABBA', 'BCBZC');20
('BAJC', 'BBFC');20
('BCABA', 'BCACA');20
('BABBC', 'BCACA');20
('BAFBE', 'BAJA');20
('BAO', 'BBFA');20
('BAFCE', 'BCBZZ');20
('BABAA', 'BCACA');20
('BAFCE', 'BCCAY');19
('BAIZ', 'BBAB');19
('BBAB', 'BBFC');19
('BAJB', 'BCBZB');19
('BCABA', 'BCCAY');19
('BBAC', 'BCCAY');19
('BBBZ', 'BBFC');19
('BBFA', 'BDDA');19
('BAAA', 'BDDC');19
('BAAA', 'BAFCE');19
('BCAGA', 'BCCBY');19
('BBFC', 'BCBZC');18
('BCAAB', 'BCBZC');18
('BAFBE', 'BAHB');18
('BABBC', 'BCCBY');18
('BCAEA', 'BCCAY');18
('BACB', 'BCCAY');18
('BAG', 'BBCB');18
('BBFA', 'BDDB');18
('BAFBE', 'BCBZB');18
('BAFBE', 'BCBZD');18
('BABBB', 'BAHB');18
('BABBA', 'BAHB');18
('BAG', 'BBFC');18
('BAFAE', 'BBCA');18
('BABAA', 'BCBZD');18
('BAHB', 'BCAAA');17
('BAO', 'BDDA');17
('BBAC', 'BBCB');17
('BAG', 'BAIZ');17
('BAAA', 'BBCA');17
('BAG', 'BCBZD');17
('BCBZZ', 'BCCBY');17
('BAG', 'BAJA');17
('BAAA', 'BABBC');17
('BABBC', 'BCBZC');17
('BABBB', 'BCCYB');17
('BAJA', 'BBFA');17
('BBBZ', 'BBFA');17
('BAHB', 'BCBZZ');17
('BAFJE', 'BCACA');17
('BAO', 'BDDB');17
('BBFA', 'BCAGA');17
('BAFCE', 'BCCBY');16
('BAFBE', 'BBFC');16
('BABAA', 'BBCB');16
('BCAEA', 'BCCBY');16
('BAAA', 'BCAAB');16
('BAFJE', 'BAP');16
('BAO', 'BCCYB');16
('BBBZ', 'BBCA');16
('BBFC', 'BDDA');16
('BAFCE', 'BDDC');16
('BACB', 'BDDA');16
('BAAA', 'BCADA');16
('BABBC', 'BBBZ');16
('BBCB', 'BCCAY');15
('BACB', 'BCAZA');15
('BABAA', 'BCBZC');15
('BACB', 'BCCBY');15
('BBAC', 'BCCBY');15
('BCACA', 'BCBZZ');15
('BAAA', 'BCBZC');15
('BAHB', 'BCAZA');15
('BBCB', 'BCBZZ');15
('BAFAE', 'BCBZC');15
('BACB', 'BAIZ');14
('BABAA', 'BCBZB');14
('BAJA', 'BCCBY');14
('BCAEA', 'BCCYB');14
('BAHB', 'BCABA');14
('BAFCE', 'BCBZB');14
('BABBC', 'BBCB');14
('BBBZ', 'BCCYB');14
('BAFJE', 'BDDA');14
('BBAC', 'BBCA');14
('BABAA', 'BAJA');14
('BAFCE', 'BCABA');14
('BBAB', 'BCACA');14
('BABBA', 'BCCYB');14
('BAO', 'BCACA');14
('BBFC', 'BCBZB');13
('BABBB', 'BCAZA');13
('BAIZ', 'BAJA');13
('BCADA', 'BCAGA');13
('BACB', 'BBCA');13
('BBCB', 'BBFC');13
('BAFCE', 'BBFC');13
('BAFJE', 'BBFC');13
('BAFCE', 'BCAZA');13
('BAFCE', 'BCAGA');13
('BBCA', 'BDDC');13
('BAFBE', 'BBAC');13
('BABBC', 'BAHB');13
('BBAC', 'BDDA');13
('BBCB', 'BDDC');13
('BAHC', 'BCCYB');13
('BAAA', 'BBBZ');13
('BAJA', 'BCACA');13
('BAFAE', 'BCBZD');13
('BBBZ', 'BCBZD');13
('BAFAE', 'BCBZB');13
('BBBZ', 'BCCBY');13
('BCAGA', 'BCCAY');13
('BAFJE', 'BCCAY');12
('BAFBE', 'BCAZA');12
('BCAAB', 'BCCYB');12
('BACB', 'BCCYB');12
('BABAA', 'BBAC');12
('BAG', 'BDDA');12
('BAFAE', 'BBFC');12
('BCAAB', 'BDDA');12
('BACB', 'BCAGA');12
('BAJA', 'BBCB');12
('BAHB', 'BCAGA');12
('BBCB', 'BCAAB');12
('BAAA', 'BBFC');12
('BAAA', 'BAHC');12
('BAHC', 'BCCBY');12
('BAO', 'BBCA');12
('BABBB', 'BCCAY');12
('BAFBE', 'BCACA');12
('BAFAE', 'BBFA');12
('BAFJE', 'BAJA');12
('BAJA', 'BAP');12
('BABAA', 'BCCAY');12
('BAJA', 'BBFC');12
('BAO', 'BCBZZ');12
('BCBZZ', 'BCCYB');12
('BAIZ', 'BAP');11
('BAJA', 'BBAC');11
('BAJA', 'BCBZD');11
('BACB', 'BBBZ');11
('BBFC', 'BDDC');11
('BAAA', 'BAJA');11
('BBFC', 'BCBZD');11
('BAFJE', 'BCCBY');11
('BABBC', 'BCBZB');10
('BAJA', 'BCAZA');10
('BBFA', 'BCBZB');10
('BAFJE', 'BCAZA');10
('BAFAE', 'BCCBY');10
('BAIZ', 'BBCB');10
('BAIZ', 'BBFC');10
('BAO', 'BCCBY');10
('BAFBE', 'BCCAY');10
('BBFC', 'BCACA');10
('BCAAB', 'BCAGA');10
('BBCB', 'BCBZD');10
('BAP', 'BCAAB');10
('BAJB', 'BCACA');10
('BAFBE', 'BCCBY');10
('BAG', 'BCBZZ');10
('BAFCE', 'BAHB');10
('BAFJE', 'BBAC');10
('BAG', 'BAG');9
('BABBC', 'BCCYB');9
('BAAA', 'BBFA');9
('BAP', 'BCBZB');9
('BABBA', 'BCAZA');9
('BAFJE', 'BCBZB');9
('BAG', 'BBCA');9
('BAP', 'BBFA');9
('BBCA', 'BCCAY');9
('BBCB', 'BCABA');9
('BBAC', 'BCAGA');9
('BBCA', 'BCAAB');9
('BABBC', 'BCABA');9
('BACB', 'BDDC');9
('BABAA', 'BDDC');9
('BAP', 'BDDA');9
('BAJA', 'BCABA');9
('BBAC', 'BBFC');9
('BBAC', 'BDDC');9
('BAJA', 'BCAGA');9
('BAFBE', 'BDDC');9
('BAP', 'BBCA');9
('BBAC', 'BCBZZ');9
('BAAA', 'BCBZZ');9
('BBAB', 'BCAZA');9
('BABAA', 'BCCBY');9
('BBFA', 'BCBZC');9
('BAG', 'BAHB');9
('BBFA', 'BCCBY');8
('BAAA', 'BCAZA');8
('BAIZ', 'BBAC');8
('BABAA', 'BBFC');8
('BABBC', 'BBCA');8
('BBBZ', 'BBCC');8
('BCABA', 'BCBZB');8
('BAHB', 'BAHB');8
('BCBZZ', 'BDDA');8
('BAFBE', 'BBCB');8
('BBFC', 'BCAGA');8
('BAHC', 'BCCAY');8
('BAO', 'BCCAY');8
('BBAB', 'BCCYB');8
('BCAZA', 'BDDC');8
('BAJA', 'BCBZC');8
('BBCB', 'BCBZC');8
('BCADA', 'BCCYB');8
('BBCA', 'BCABA');8
('BABAA', 'BAP');8
('BAFJE', 'BBCA');8
('BBBA', 'BCCYB');8
